MAS SECTION LED DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,,,,,,,,,,RG,,,,,,HG,,,,,,HHG,,,,,,DG,,,,,,SHUNT,,,,,,ROUTE,,,,,,AMARKER,,,,,,CALLINGON,,,,,,,,,,,,,,,,,,,,
SNO,SECTION,STATION/AUTOSECTION/LC/IBS,ROUTE,"SIGNALNO/
SHUNTNO",HOME/STARTER/LSS/CO/IND SH/SUB SH/AUTO/GATE/IB/REP,LHS/RHS,SMMS Asset Created,"Asset Approved by
In Charge SSE",,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,,2Aspect,3Aspect,4Aspect,Shunt,Ind,OnPost,CO,Route,Home,Starter,IB,Gatesig,Auto,Retro Reflective Signal No.
24,MAS,MAS,A,SH39,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
25,MAS,MAS,A,SH40,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
26,MAS,MAS,A,SH44,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,11/26/2017,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
27,MAS,MAS,A,SH60,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
28,MAS,MAS,A,SH61,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,6/7/2011,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
29,MAS,MAS,A,SH43,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,10/30/2019,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
30,MAS,MAS,A,SH45,IND SH,RHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,12/13/2009,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
31,MAS,MAS,A,SH42,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,3/1/2019,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
32,MAS,MAS,A,SH41,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,9/30/2017,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
33,MAS,MAS,A,SH62,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,RTV,INTEGRATED,,,10/23/2011,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
34,MAS,MAS,A,SH63,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,11/9/2014,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
35,MAS,MAS,A,SH64,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,1/30/2019,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
36,MAS,MAS,A,MAS14,LSS,RHS,TRUE,TRUE,,RTV,INTEGRATED,2619,1/1/2017,,1,GAEC,INTEGRATED,38837,3/1/1993,6/1/2019,1,GAEC,INTEGRATED,33640,6/1/2019,8/15/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,TRUE,,,,,TRUE,TRUE,,,,,,14
